% Cone spiral data: a=1.000, b=2.000, c=1.500, h=5.000
%t(radians)      x           y           z
    0.0000     0.000000     0.000000     0.000000
    0.0252     0.005008     0.010020     0.000189
    0.0504     0.010007     0.020040     0.000757
    0.0755     0.014987     0.030060     0.001702
    0.1007     0.019938     0.040080     0.003023
    0.1259     0.024852     0.050100     0.004719
    0.1511     0.029718     0.060120     0.006787
    0.1763     0.034527     0.070140     0.009225
    0.2015     0.039270     0.080160     0.012030
    0.2266     0.043937     0.090180     0.015198
    0.2518     0.048520     0.100200     0.018726
    0.2770     0.053009     0.110220     0.022608
    0.3022     0.057396     0.120240     0.026839
    0.3274     0.061671     0.130261     0.031415
    0.3526     0.065826     0.140281     0.036330
    0.3777     0.069852     0.150301     0.041576
    0.4029     0.073741     0.160321     0.047148
    0.4281     0.077484     0.170341     0.053038
    0.4533     0.081073     0.180361     0.059239
    0.4785     0.084500     0.190381     0.065743
    0.5037     0.087758     0.200401     0.072541
    0.5288     0.090838     0.210421     0.079624
    0.5540     0.093733     0.220441     0.086983
    0.5792     0.096436     0.230461     0.094610
    0.6044     0.098939     0.240481     0.102493
    0.6296     0.101237     0.250501     0.110622
    0.6548     0.103322     0.260521     0.118987
    0.6799     0.105187     0.270541     0.127577
    0.7051     0.106828     0.280561     0.136380
    0.7303     0.108237     0.290581     0.145385
    0.7555     0.109409     0.300601     0.154580
    0.7807     0.110339     0.310621     0.163952
    0.8059     0.111021     0.320641     0.173489
    0.8310     0.111450     0.330661     0.183178
    0.8562     0.111623     0.340681     0.193007
    0.8814     0.111534     0.350701     0.202960
    0.9066     0.111180     0.360721     0.213026
    0.9318     0.110557     0.370741     0.223190
    0.9570     0.109661     0.380762     0.233438
    0.9821     0.108489     0.390782     0.243756
    1.0073     0.107039     0.400802     0.254130
    1.0325     0.105307     0.410822     0.264545
    1.0577     0.103293     0.420842     0.274986
    1.0829     0.100992     0.430862     0.285438
    1.1081     0.098405     0.440882     0.295887
    1.1332     0.095530     0.450902     0.306317
    1.1584     0.092365     0.460922     0.316713
    1.1836     0.088911     0.470942     0.327060
    1.2088     0.085167     0.480962     0.337342
    1.2340     0.081133     0.490982     0.347545
    1.2592     0.076809     0.501002     0.357652
    1.2843     0.072196     0.511022     0.367649
    1.3095     0.067296     0.521042     0.377519
    1.3347     0.062109     0.531062     0.387248
    1.3599     0.056637     0.541082     0.396819
    1.3851     0.050883     0.551102     0.406218
    1.4103     0.044849     0.561122     0.415430
    1.4354     0.038537     0.571142     0.424439
    1.4606     0.031950     0.581162     0.433229
    1.4858     0.025093     0.591182     0.441786
    1.5110     0.017968     0.601202     0.450096
    1.5362     0.010580     0.611222     0.458142
    1.5614     0.002933     0.621242     0.465911
    1.5865    -0.004968     0.631263     0.473388
    1.6117    -0.013118     0.641283     0.480559
    1.6369    -0.021512     0.651303     0.487410
    1.6621    -0.030144     0.661323     0.493927
    1.6873    -0.039008     0.671343     0.500096
    1.7125    -0.048098     0.681363     0.505903
    1.7376    -0.057407     0.691383     0.511337
    1.7628    -0.066929     0.701403     0.516384
    1.7880    -0.076656     0.711423     0.521030
    1.8132    -0.086581     0.721443     0.525265
    1.8384    -0.096695     0.731463     0.529076
    1.8635    -0.106992     0.741483     0.532451
    1.8887    -0.117463     0.751503     0.535380
    1.9139    -0.128098     0.761523     0.537850
    1.9391    -0.138890     0.771543     0.539852
    1.9643    -0.149830     0.781563     0.541376
    1.9895    -0.160907     0.791583     0.542411
    2.0146    -0.172113     0.801603     0.542948
    2.0398    -0.183437     0.811623     0.542979
    2.0650    -0.194871     0.821643     0.542494
    2.0902    -0.206403     0.831663     0.541485
    2.1154    -0.218022     0.841683     0.539946
    2.1406    -0.229720     0.851703     0.537867
    2.1657    -0.241484     0.861723     0.535244
    2.1909    -0.253304     0.871743     0.532069
    2.2161    -0.265169     0.881764     0.528337
    2.2413    -0.277067     0.891784     0.524042
    2.2665    -0.288988     0.901804     0.519179
    2.2917    -0.300918     0.911824     0.513745
    2.3168    -0.312847     0.921844     0.507735
    2.3420    -0.324764     0.931864     0.501146
    2.3672    -0.336655     0.941884     0.493976
    2.3924    -0.348509     0.951904     0.486222
    2.4176    -0.360314     0.961924     0.477882
