-----------------------------------
|      x      | cos(x)            |
-----------------------------------
|      0.00000  | +1.000e+00       | 
|      0.19635  | +9.808e-01       | 
|      0.39270  | +9.239e-01       | 
|      0.58905  | +8.315e-01       | 
|      0.78540  | +7.071e-01       | 
|      0.98175  | +5.556e-01       | 
|      1.17810  | +3.827e-01       | 
|      1.37445  | +1.951e-01       | 
|      1.57080  | +6.123e-17       | 
|      1.76715  | -1.951e-01       | 
|      1.96350  | -3.827e-01       | 
|      2.15984  | -5.556e-01       | 
|      2.35619  | -7.071e-01       | 
|      2.55254  | -8.315e-01       | 
|      2.74889  | -9.239e-01       | 
|      2.94524  | -9.808e-01       | 
|      3.14159  | -1.000e+00       | 
-----------------------------------
