-----------------------------------
|      x      | sin(x)            |
-----------------------------------
|      0.00000  | +0.000e+00       | 
|      0.19635  | +1.951e-01       | 
|      0.39270  | +3.827e-01       | 
|      0.58905  | +5.556e-01       | 
|      0.78540  | +7.071e-01       | 
|      0.98175  | +8.315e-01       | 
|      1.17810  | +9.239e-01       | 
|      1.37445  | +9.808e-01       | 
|      1.57080  | +1.000e+00       | 
|      1.76715  | +9.808e-01       | 
|      1.96350  | +9.239e-01       | 
|      2.15984  | +8.315e-01       | 
|      2.35619  | +7.071e-01       | 
|      2.55254  | +5.556e-01       | 
|      2.74889  | +3.827e-01       | 
|      2.94524  | +1.951e-01       | 
|      3.14159  | +1.225e-16       | 
-----------------------------------
